number,name,filename,category
0001,"two sum","0001_two_sum.go","arrays"
0002,"add two numbers","0002_add_two_numbers.go","linked-lists"
0003,"longest substring","0003_longest_substring.go","strings"
0004,"median sorted arrays","0004_median_sorted_arrays.go","arrays"
0005,"longest palindromic substring","0005_longest_palindromic_substring.go","strings"
0006,"zigzag conversion","0006_zigzag_conversion.go","strings"
0007,"reverse integer","0007_reverse_integer.go","math"
0008,"string to integer","0008_string_to_integer.go","strings"
0009,"palindrome number","0009_palindrome_number.go","strings"
0010,"regular expression matching","0010_regular_expression_matching.go","strings"
0011,"container with most water","0011_container_with_most_water.go","arrays"
0012,"integer to roman","0012_integer_to_roman.go","strings"
0013,"roman to integer","0013_roman_to_integer.go","strings"
0014,"longest common prefix","0014_longest_common_prefix.go","strings"
0015,"3sum","0015_3sum.go","arrays"
0016,"3sum closest","0016_3sum_closest.go","arrays"
0017,"letter combinations","0017_letter_combinations.go","strings"
0018,"4sum","0018_4sum.go","arrays"
0019,"remove nth node","0019_remove_nth_node.go","linked-lists"
0020,"valid parentheses","0020_valid_parentheses.go","arrays"
0021,"merge two sorted lists","0021_merge_two_sorted_lists.go","sorting"
0022,"generate parentheses","0022_generate_parentheses.go","strings"
0023,"merge k sorted lists","0023_merge_k_sorted_lists.go","sorting"
0024,"swap nodes in pairs","0024_swap_nodes_in_pairs.go","linked-lists"
0025,"reverse nodes in k group","0025_reverse_nodes_in_k_group.go","linked-lists"
0026,"remove duplicates from sorted array","0026_remove_duplicates_from_sorted_array.go","arrays"
0027,"remove element","0027_remove_element.go","arrays"
0028,"str str","0028_str_str.go","arrays"
0029,"divide two integers","0029_divide_two_integers.go","math"
0030,"substring with concatenation of all words","0030_substring_with_concatenation_of_all_words.go","strings"
0031,"next permutation","0031_next_permutation.go","arrays"
0032,"longest valid parentheses","0032_longest_valid_parentheses.go","arrays"
0033,"search in rotated sorted array","0033_search_in_rotated_sorted_array.go","arrays"
0034,"find first and last position","0034_find_first_and_last_position.go","arrays"
0035,"search insert position","0035_search_insert_position.go","arrays"
0036,"valid sudoku","0036_valid_sudoku.go","arrays"
0037,"sudoku solver","0037_sudoku_solver.go","arrays"
0038,"count and say","0038_count_and_say.go","strings"
0039,"combination sum","0039_combination_sum.go","arrays"
0040,"combination sum ii","0040_combination_sum_ii.go","arrays"
0041,"first missing positive","0041_first_missing_positive.go","arrays"
0042,"trapping rain water","0042_trapping_rain_water.go","arrays"
0043,"multiply strings","0043_multiply_strings.go","strings"
0044,"wildcard matching","0044_wildcard_matching.go","strings"
0045,"jump game ii","0045_jump_game_ii.go","arrays"
0046,"permutations","0046_permutations.go","arrays"
0047,"permutations ii","0047_permutations_ii.go","arrays"
0048,"rotate image","0048_rotate_image.go","arrays"
0049,"group anagrams","0049_group_anagrams.go","strings"
0050,"pow x n","0050_pow_x_n.go","math"
0051,"n queens","0051_n_queens.go","arrays"
